,Gender,Age,hours_studied,economic_stutus,mothers_education,fathers_education,result
486,1,25,2.5,0,1,1,3.75
488,1,22,3.0,1,3,3,3.75
489,0,22,4.5,1,1,1,3.75
490,0,22,4.5,1,0,1,3.75
491,1,19,3.0,1,2,3,3.75
492,0,22,4.5,1,2,1,3.5
493,1,22,3.0,2,3,2,3.75
494,1,22,3.0,0,1,2,3.25
495,0,19,4.0,2,3,3,4.0
496,1,19,3.0,2,2,3,4.0
497,1,22,4.0,1,2,2,3.5
498,0,19,4.5,2,2,2,3.75
500,1,19,4.0,2,1,1,3.75
501,1,22,3.0,1,0,1,3.5
502,1,22,3.5,0,1,0,3.25
503,0,22,3.0,1,2,2,4.0
505,0,19,4.0,1,1,2,3.75
506,1,19,3.0,2,0,0,3.5
507,0,22,4.0,1,1,2,3.75
508,1,19,3.0,2,3,3,3.0
509,1,22,4.0,1,3,2,4.0
510,0,22,3.0,1,0,1,3.75
511,1,22,3.0,1,1,2,3.5
512,0,22,4.5,1,1,1,3.5
513,1,22,3.0,0,0,1,3.5
514,0,22,4.0,1,0,1,3.0
515,1,22,4.5,2,0,2,3.75
516,1,22,2.5,0,1,2,3.5
517,1,22,4.0,1,1,2,3.0
518,1,22,3.0,1,2,1,3.25
519,0,19,2.5,1,2,3,3.25
520,0,22,3.0,1,3,3,4.0
522,0,19,4.0,0,3,3,0.0
524,0,19,4.0,2,3,2,3.75
526,1,22,3.0,0,3,3,4.0
529,0,19,3.0,2,1,1,3.75
531,1,19,4.0,2,1,1,3.5
533,0,19,3.0,2,3,3,3.75
534,1,28,4.5,3,3,2,4.0
535,0,22,4.0,2,1,1,3.75
536,0,22,3.0,2,3,3,4.0
537,0,22,3.0,2,2,3,3.5
538,0,19,3.0,2,1,1,3.75
539,0,22,3.0,2,3,3,3.75
541,1,19,4.5,2,1,3,4.0
542,0,19,3.5,2,2,3,4.0
543,1,19,4.0,2,2,3,3.75
544,1,19,3.0,2,2,2,3.75
545,1,19,3.0,1,1,1,3.75
546,1,19,4.0,0,1,3,3.75
547,1,19,4.5,1,1,1,4.0
548,1,19,3.0,2,3,3,4.0
549,1,19,4.0,2,3,3,4.0
